,id,Nombre,Nemo,Tipo,Potencia,Region,F_desde,F_hasta,lat,lon,provincia,Tipo_eco
41,823.0,P.E. Pampa Energía III,BAHIEO,eolicas,86.4,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.75298900747349,-61.77164638565147,Buenos Aires,Renovable
42,834.0,Parque Eólico Pampa Energía (MATER),PAMEEO,eolicas,50.4,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.69586086233547,-62.00217819626178,Buenos Aires,Renovable
43,645.0,P.E. CORTI,CORTEO,eolicas,100.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.674887862159466,-62.02596591194228,Buenos Aires,Renovable
44,649.0,PE La Castellana,LCASEO,eolicas,100.8,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.62858647811901,-62.70867806195045,Buenos Aires,Renovable
45,830.0,Parque Eólico La Castellana II (MATER),LCA2EO,eolicas,15.2,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.62175423703675,-62.763622295929366,Buenos Aires,Renovable
46,829.0,Parque Eólico Vientos La Genoveva II (MATER),GNV2EO,eolicas,41.8,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.56304315624503,-61.92805179161478,Buenos Aires,Renovable
47,763.0,P.E. LA GENOVEVA,GNV1EO,eolicas,88.2,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.55533018409829,-61.9442952415619,Buenos Aires,Renovable
48,647.0,PE GARCÍA DEL RÍO,GRIOEO,eolicas,10.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.40682928472571,-62.25974509152916,Buenos Aires,Renovable
49,828.0,P.E. ENERGETICA I fase 2 (MATER),EN1MEO,eolicas,19.95,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.3595506224662,-62.24679194681628,Buenos Aires,Renovable
50,754.0,P.E. ENERGETICA I,ENE1EO,eolicas,79.8,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.35734287395847,-62.21930646509544,Buenos Aires,Renovable
51,866.0,Parque eólico San Jorge y El Mataco,SJMTEO,eolicas,203.4,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.33714464589652,-62.28061402728601,Buenos Aires,Renovable
52,691.0,P.E. Miramar,MIRAEO,eolicas,98.6,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.22607831835527,-58.04823131329422,Buenos Aires,Renovable
53,692.0,C.At.Necochea I,NEC1EO,eolicas,37.95,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.6167614619435,-58.827759498770455,Buenos Aires,Renovable
54,867.0,Parque Eólico  Los Teros II (MATER),TER2EO,eolicas,52.39,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-37.13821886921624,-59.8143353598614,Buenos Aires,Renovable
55,840.0,Parque Eólico Los Teros,TEROEO,eolicas,122.56,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-37.12948197310419,-59.75992337548369,Buenos Aires,Renovable
56,391.0,F. AMEGHINO,AMEGHI,hidraulica,46.8,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.69919138277291,-66.48176107702609,Chubut,Renovable
57,389.0,FUTALEUFU,FUTAHI,hidraulica,532.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.12918570041251,-71.62994868923936,Chubut,Renovable
58,697.0,H RIO ESCONDIDO,RESCHI,hidraulica,7.2,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-41.69133596391463,-71.56193287223144,Río Negro,Renovable
59,62.0,ALICURA,ALICHI,hidraulica,1050.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.58419649266092,-70.74742630623528,Neuquén,Renovable
60,63.0,PIEDRA D AGUILA,PAGUHI,hidraulica,1400.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.18983804924847,-69.9917941724361,Neuquén,Renovable
61,302.0,PICHI P. LEUFU,PPLEHI,hidraulica,285.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.01250878991134,-69.98495141371495,Río Negro,Renovable
62,59.0,CHOCON,CHOCHI,hidraulica,1260.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.2658472988655,-68.7560382965823,Neuquén,Renovable
63,61.0,ARROYITO,ARROHI,hidraulica,127.8,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.10712154281761,-68.58545090823768,Neuquén,Renovable
64,82.0,CESPEDES,CESPHI,hidraulica,5.2,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.559952344474695,-65.68193659124027,Río Negro,Renovable
65,79.0,GRAL. ROCA,GROCHI,hidraulica,1.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.02356366189623,-67.56950193925017,Río Negro,Renovable
66,80.0,CIPOLLETTI,CIPOHI,hidraulica,5.4,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.913149725540784,-67.9419236685025,Río Negro,Renovable
67,81.0,JULIAN ROMERO,ROMEHI,hidraulica,6.2,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.83663022688351,-68.03748819389928,Río Negro,Renovable
68,60.0,P. BANDERITA,PBANHI,hidraulica,472.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.55960663962625,-68.4744459885959,Neuquén,Renovable
69,509.0,SALTO ANDERSEN,SANDHI,hidraulica,8.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.82139794024728,-64.81720787593449,Río Negro,Renovable
